Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
57769,35023,31,480,Grade 2,300,4,2
150384,69105,76,0,Elementary Graduate,0,4,2
848240,197701,62,1790,High School Graduate,248300,7,2
71852,42375,66,0,Second Year High School,0,3,1
568492,116229,42,0,Teacher Training and Education Sciences Programs,0,2,2
101922,56726,31,0,High School Graduate,1960,5,2
97470,46308,89,0,Grade 5,340,2,0
169410,108508,63,85,High School Graduate,400,10,4
346780,70144,60,428,Business and Administration Programs,0,2,0
537600,136581,51,720,High School Graduate,128000,5,0
96151,46037,58,0,Elementary Graduate,0,2,1
101700,57814,24,570,High School Graduate,0,3,1
378401,114242,38,720,Engineering and Engineering Trades Programs,1650,4,1
229075,104343,33,0,Transport Services Programs,0,4,2
102715,67417,71,0,Elementary Graduate,2990,3,0
164841,91508,64,282,Elementary Graduate,200,6,1
85745,52282,67,0,First Year College,0,2,0
309092,105843,41,740,Business and Administration Programs,54760,5,0
176883,66319,74,0,Elementary Graduate,700,4,2
161185,37643,46,1050,Grade 5,0,2,0
40226,25060,67,0,Elementary Graduate,300,1,0
690190,168827,38,0,Post Baccalaureate,5650,7,2
90844,36600,60,0,Second Year High School,200,4,2
371698,40917,61,450,Second Year High School,0,3,1
119461,71180,35,0,Grade 3,2155,4,1
79040,55512,60,370,Elementary Graduate,1800,4,0
207993,73980,63,0,Elementary Graduate,1250,5,0
205627,150695,49,375,Elementary Graduate,2050,14,2
133779,67180,44,1326,Grade 5,3120,7,1
214563,167756,55,2609,High School Graduate,1935,8,0
89888,57291,51,702,Grade 1,200,1,1
84693,45197,22,810,High School Graduate,0,1,1
162774,46231,59,0,High School Graduate,0,1,0
167506,90167,41,3934,Elementary Graduate,960,9,5
67502,55773,58,0,Grade 5,1510,2,1
118228,136027,72,2808,Grade 1,1060,4,1
85420,59564,72,1897,Grade 2,1000,3,3
145195,86169,54,600,Grade 3,1000,7,3
583168,193319,53,3700,High School Graduate,24500,4,3
131810,92531,54,1050,Grade 5,8900,12,4
390226,153235,36,810,Basic Programs,8150,4,1
99078,60755,71,1188,Grade 4,690,4,1
131780,58876,44,0,Grade 5,1400,5,0
276776,93197,42,135,Business and Administration Programs,5300,5,2
175800,108246,50,1555,High School Graduate,5970,6,2
108313,61881,53,1980,Grade 2,200,6,1
195240,78704,54,0,Grade 1,1290,8,4
123955,58446,58,0,Grade 3,0,3,1
118920,77160,35,324,Third Year High School,460,4,1
203275,90621,62,2140,High School Graduate,0,4,2
177839,82897,42,0,Second Year Post Secondary,2035,4,1
52479,28692,56,156,Elementary Graduate,680,5,3
125948,40914,51,0,Grade 3,2355,4,1
400862,77248,49,2478,Grade 5,0,3,1
113693,59000,57,0,First Year High School,750,4,2
80541,52280,23,0,Second Year College,0,4,1
78238,38920,42,0,First Year High School,1115,4,1
196975,74828,74,1460,High School Graduate,0,3,2
176410,66256,58,0,Transport Services Programs,0,3,0
654500,96940,58,0,Teacher Training and Education Sciences Programs,3400,3,1
445855,187803,55,2798,High School Graduate,74700,7,4
152360,50965,53,0,Engineering and Engineering Trades Programs,0,2,1
567050,109231,37,0,Business and Administration Programs,6980,4,1
320311,131384,57,0,Second Year High School,90230,5,0
598948,162253,48,4160,Security Services Programs,18000,5,3
236626,128756,59,135,High School Graduate,9625,8,3
129798,64044,31,96,High School Graduate,780,4,1
110290,52707,24,270,High School Graduate,250,3,1
155173,44945,56,0,Second Year College,0,2,1
191806,118200,72,810,Elementary Graduate,7184,10,3
106268,58279,37,948,Grade 1,1750,7,1
27795,18052,55,2288,Elementary Graduate,0,1,1
177473,85381,54,2600,High School Graduate,19600,4,1
153353,98039,68,870,Grade 5,950,7,0
107023,61498,55,780,Grade 2,2050,8,2
63064,49563,55,180,No Grade Completed,6800,6,1
54640,33433,32,860,Grade 1,200,4,0
48905,36379,46,180,Grade 1,3200,6,0
113531,94137,41,0,Grade 2,1400,7,0
122720,73271,56,2184,Grade 3,1990,5,0
50065,41558,43,0,Grade 4,400,3,0
46709,39134,56,0,Grade 4,0,3,1
14691,7676,79,884,Grade 2,0,1,0
108395,80781,52,480,Grade 5,0,7,1
111439,51292,63,2340,Elementary Graduate,0,3,0
58798,39443,51,168,Grade 2,300,7,3
83747,55204,43,0,Elementary Graduate,2200,6,2
77740,30666,68,1350,Second Year High School,0,3,1
54381,41001,42,500,First Year High School,0,5,1
167412,65407,51,1014,Third Year College,0,3,3
68465,48777,55,810,First Year High School,400,5,1
72861,52457,34,0,Second Year High School,2050,6,1
52245,29211,77,570,Grade 4,0,3,1
23855,19108,68,0,Grade 3,0,1,0
101256,64297,46,540,Third Year High School,450,5,1
30294,19072,66,0,Grade 4,0,1,0
20688,16977,96,0,No Grade Completed,0,1,0
37078,24551,45,1280,Grade 6,0,1,1
204550,41334,65,0,Teacher Training and Education Sciences Programs,0,2,0
121627,70696,46,1592,Elementary Graduate,700,7,4
96612,38770,65,1710,Elementary Graduate,0,2,2
146828,72808,67,570,Elementary Graduate,9650,6,1
85551,53949,53,135,Elementary Graduate,300,5,2
119894,86179,61,0,High School Graduate,3900,7,1
407053,98336,46,720,High School Graduate,0,5,0
62435,34966,73,20,Grade 4,1226,4,0
185577,103936,48,0,Grade 3,1620,7,3
59604,44098,53,2016,Grade 5,955,7,1
120596,60621,45,162,Grade 5,1100,5,1
83193,64946,42,846,Grade 5,375,6,1
77651,45714,36,1980,Grade 4,0,3,3
72210,45353,35,140,Grade 5,1600,5,1
66352,51906,44,84,Grade 4,2002,8,2
59672,40092,57,0,Grade 4,0,2,1
68125,45273,40,0,Elementary Graduate,1785,4,1
140611,54578,52,360,High School Graduate,350,3,0
98965,59932,48,1224,Second Year High School,1670,5,1
73224,49576,63,264,Grade 4,700,4,2
101802,53684,41,480,Elementary Graduate,1505,3,0
57553,44832,67,192,Grade 3,550,4,1
136527,73772,38,402,Third Year High School,1650,10,1
199545,115215,53,1320,Elementary Graduate,1400,8,0
362818,146772,54,900,Grade 5,850,17,3
81712,54452,68,0,Elementary Graduate,0,4,1
124676,66389,52,0,Teacher Training and Education Sciences Programs,10380,5,3
39732,20852,79,0,Grade 5,0,2,0
71375,51481,44,105,High School Graduate,1140,4,1
44202,37446,62,132,High School Graduate,700,3,1
82184,42962,42,0,Second Year High School,1390,5,1
73674,50628,35,495,Grade 3,1100,8,2
140115,62906,39,95,Second Year College,0,3,1
137855,65779,47,0,High School Graduate,20600,5,2
139238,56028,41,97,High School Graduate,1445,4,2
128552,62398,38,385,High School Graduate,2260,5,0
420920,90911,63,900,Second Year High School,0,2,0
150360,60568,63,345,High School Graduate,3750,4,1
632120,115485,39,0,Teacher Training and Education Sciences Programs,15590,4,1
201280,61514,37,0,Computing/Information Technology Programs,1367,2,0
197287,86220,59,0,High School Graduate,0,6,2
387164,137360,43,0,Teacher Training and Education Sciences Programs,6798,3,0
103880,57139,34,0,High School Graduate,1850,5,1
165906,66714,58,0,First Year College,10925,4,1
295600,86660,33,1170,First Year College,0,4,0
66252,16764,57,2964,Third Year College,0,1,1
93020,37701,69,0,High School Graduate,420,4,1
121390,59661,59,495,Grade 3,160,3,1
642630,269303,53,0,Third Year College,538,7,1
154990,68961,59,702,Grade 5,860,4,1
112128,53818,46,566,Grade 3,0,2,1
228063,132660,48,1050,High School Graduate,0,6,1
177157,77110,65,0,Grade 4,7860,4,1
136980,111914,38,738,High School Graduate,1990,7,1
267630,123334,34,0,Teacher Training and Education Sciences Programs,490,7,2
150096,48435,35,90,Third Year College,0,2,1
179509,115607,49,2670,High School Graduate,500,6,2
625096,177424,61,5780,Engineering and Engineering Trades Programs,0,6,2
119103,61420,37,960,Engineering and Engineering Trades Programs,0,3,1
127471,76670,50,2050,Elementary Graduate,1720,4,2
102080,61598,21,1740,First Year College,0,1,1
381970,84813,56,3120,Second Year College,200,3,1
84976,62281,39,0,Second Year College,0,2,1
410000,143332,72,0,Elementary Graduate,25120,9,1
19581,14188,78,0,Grade 4,0,2,0
161279,70194,66,456,First Year High School,200,6,1
122469,61053,31,336,Computing/Information Technology Programs,1500,5,2
113292,56503,39,270,Third Year High School,2600,5,1
76052,45755,53,486,Elementary Graduate,0,3,1
61470,39822,26,351,High School Graduate,0,3,1
1280422,123790,54,190,Engineering and Engineering Trades Programs,26768,6,0
49700,29275,47,2860,Grade 5,0,1,1
111338,61638,37,162,Elementary Graduate,1685,5,1
103064,68956,40,270,First Year High School,1500,6,1
134358,66762,42,0,Grade 3,4643,9,3
37902,25690,63,174,Elementary Graduate,0,2,0
44184,34952,44,342,Grade 4,600,4,1
48255,30774,53,258,Grade 3,800,3,1
64455,47534,49,174,No Grade Completed,800,8,0
51074,41795,71,174,No Grade Completed,300,4,1
40649,29480,65,168,Grade 1,100,4,1
96956,65412,36,858,Elementary Graduate,1620,8,0
76460,54181,69,342,Elementary Graduate,800,8,1
42806,28900,57,562,Grade 2,1100,1,0
148742,66790,61,108,Elementary Graduate,22780,6,1
146786,49207,75,0,Elementary Graduate,26060,3,0
183827,80835,72,0,Second Year High School,2400,7,1
580160,144611,74,0,High School Graduate,18200,7,2
270835,78280,48,1690,Business and Administration Programs,3370,5,2
149640,101626,40,150,High School Graduate,7119,4,1
255060,108830,46,2470,High School Graduate,3345,5,0
143552,94463,56,2990,High School Graduate,2600,7,0
269001,165207,74,0,Engineering and Engineering Trades Programs,1500,4,1
447170,43149,63,0,Second Year College,0,1,0
117837,56980,74,360,Second Year High School,0,5,2
121962,52567,54,1378,First Year High School,2000,3,1
542660,138516,48,0,Engineering and Engineering Trades Programs,29500,7,0
285520,97832,30,3900,Second Year College,0,4,1
58329,27433,61,45,Third Year High School,500,2,1
242172,135028,63,0,Engineering and Engineering Trades Programs,600,5,2
455683,133573,48,870,Transport Services Programs,0,2,2
55080,40257,51,0,Grade 4,870,2,0
119115,64447,73,0,Grade 4,1200,8,2
80704,45648,43,0,Grade 5,300,5,0
128718,87250,39,0,Grade 3,0,5,1
169182,111407,60,0,Third Year High School,200,8,1
116316,94619,39,0,Grade 3,950,11,0
164939,62576,60,2015,Elementary Graduate,0,4,1
125877,61471,60,270,Second Year Post Secondary,0,3,2
35384,13394,44,0,High School Graduate,0,1,1
493311,257754,43,11050,Elementary Graduate,75600,12,4
187533,105886,33,0,High School Graduate,7025,12,4
140501,53480,40,270,High School Graduate,7349,6,1
457006,132644,67,0,Third Year High School,37800,3,1
303063,74519,59,0,Elementary Graduate,3460,8,4
114198,55932,54,600,High School Graduate,835,2,0
188066,82725,44,0,Second Year High School,0,3,3
132104,55992,37,0,Second Year High School,1359,4,2
95469,63506,71,0,Grade 1,7540,8,0
174591,51335,56,384,Grade 4,0,4,0
72510,42893,58,0,Elementary Graduate,3250,5,1
128763,54694,43,0,First Year High School,8105,5,1
193723,58865,56,0,Grade 3,26585,5,0
95261,65976,62,0,Grade 5,320,6,3
78840,59506,46,390,First Year High School,1574,8,3
269913,118253,46,0,High School Graduate,2935,6,0
44415,23822,41,625,Grade 5,0,2,2
159040,49284,68,0,Teacher Training and Education Sciences Programs,0,2,0
132632,71216,45,1396,Second Year High School,1950,6,2
149776,87336,46,600,First Year College,2250,8,1
177908,85454,46,0,Second Year Post Secondary,5500,6,2
140474,73957,63,2090,Grade 5,450,9,2
194956,115961,39,0,Second Year Post Secondary,855,7,0
142113,63837,49,6003,Third Year High School,21400,4,2
30292,17311,55,912,Elementary Graduate,0,2,2
433096,133517,49,0,First Year High School,22100,5,1
23209,10373,85,0,Elementary Graduate,0,1,0
257832,85551,51,0,Teacher Training and Education Sciences Programs,15225,4,1
321310,162706,54,2340,Elementary Graduate,52020,6,2
69835,43559,66,348,Second Year High School,0,3,2
71533,48086,30,300,Grade 4,859,4,2
128523,44456,57,360,High School Graduate,0,2,1
32145,19830,66,0,High School Graduate,0,2,0
76779,60887,43,475,Second Year Post Secondary,3505,5,2
112140,73067,36,690,First Year High School,745,6,1
78132,74931,40,1386,Grade 1,3245,9,1
119880,82724,55,0,Third Year High School,1260,5,4
234880,97444,59,4160,Third Year College,26700,3,2
71260,24057,94,25,Grade 2,0,2,1
700542,209661,46,0,Security Services Programs,241500,4,1
122779,74226,45,60,High School Graduate,3270,4,0
206545,82825,46,0,High School Graduate,2010,10,5
2572904,83588,56,0,Basic Programs,0,1,0
183299,83002,48,0,First Year High School,2340,7,1
709057,179846,47,2160,Post Baccalaureate,136658,4,2
157518,40025,72,0,Second Year College,0,2,0
97670,48229,53,0,Grade 2,5986,8,0
348130,82573,44,0,Computing/Information Technology Programs,1630,4,0
111856,73034,51,0,Elementary Graduate,1180,5,2
115752,51250,57,2080,Third Year High School,0,2,1
115635,52865,57,2340,Elementary Graduate,0,3,3
70276,41110,47,0,Grade 4,607,3,2
84044,39926,50,360,Grade 5,0,3,0
117453,80390,40,0,First Year High School,1405,6,4
296776,105863,30,1248,Teacher Training and Education Sciences Programs,0,3,1
102895,45468,59,340,Grade 4,0,3,1
145026,73481,33,300,Grade 3,630,4,2
164417,61112,47,1290,Engineering and Engineering Trades Programs,0,4,2
32456,17655,75,0,Grade 2,0,1,0
142039,72997,37,0,First Year College,560,5,1
177079,66248,46,720,Grade 5,80,4,0
27032,23754,70,0,Grade 3,0,1,0
66723,41124,35,0,Elementary Graduate,845,7,0
212613,72044,44,50,Elementary Graduate,1080,8,2
143433,83059,51,132,Grade 5,680,6,3
178755,74292,56,0,Engineering and Engineering Trades Programs,1060,5,1
170549,106008,40,1740,Grade 4,500,7,4
106187,79927,43,3067,Grade 4,4335,11,4
305760,123802,58,291,Third Year College,26410,5,0
144754,76525,40,295,Transport Services Programs,849,3,2
182180,101634,74,0,Elementary Graduate,550,12,0
551113,135009,57,5180,High School Graduate,0,3,1
470266,60139,57,0,Business and Administration Programs,0,1,0
118926,73028,58,1140,Elementary Graduate,0,4,3
170326,95119,38,0,Elementary Graduate,26170,6,1
127481,91486,33,4620,First Year High School,1050,4,1
126558,86976,28,3260,First Year High School,50,4,2
89364,40736,34,230,Third Year College,810,4,2
92381,33886,47,0,Grade 4,5065,1,1
50194,35240,40,85,Grade 3,1270,4,1
137490,76621,50,5070,Elementary Graduate,3710,5,1
60212,48671,53,790,Grade 3,2100,3,0
35790,23581,52,0,Grade 3,0,1,0
23973,16966,64,540,Grade 2,0,1,0
619553,103794,43,0,Teacher Training and Education Sciences Programs,1275,9,2
81129,47742,68,815,Grade 5,19550,6,1
259540,86780,51,375,Grade 5,7150,8,3
77132,56974,62,285,Grade 2,1550,4,2
76256,44533,56,0,Grade 1,0,6,2
138866,57477,33,704,High School Graduate,14600,4,0
110203,57782,56,1380,Grade 5,21130,9,0
32587,25736,51,0,Third Year High School,200,2,0
40922,15352,70,1240,Grade 1,0,1,1
101605,47432,49,0,Elementary Graduate,833,4,2
96801,37328,55,0,Elementary Graduate,16950,3,0
156331,55200,53,0,Elementary Graduate,43705,6,1
172023,83120,42,0,Grade 2,2250,8,4
233160,69613,49,0,Grade 1,395,11,3
89809,70695,47,1220,Grade 4,1680,10,0
212164,106305,48,3580,Elementary Graduate,2528,6,2
117807,67017,55,0,Grade 5,1708,6,1
216999,52045,65,0,Grade 4,5200,3,2
139936,66865,67,1250,Grade 3,0,5,3
81006,48742,47,300,Grade 4,360,4,1
48397,26811,74,280,Elementary Graduate,0,2,0
88740,52465,61,300,Grade 5,0,3,0
75012,71988,63,0,Grade 4,4200,4,1
47686,24556,64,0,Elementary Graduate,0,2,1
235347,98748,50,480,Second Year Post Secondary,51400,3,3
146450,79893,47,1128,Grade 5,2470,6,2
277002,117663,63,1040,First Year Post Secondary,6550,9,1
634643,161428,62,1490,Security Services Programs,0,2,1
781605,117271,59,0,Second Year College,5150,4,2
142184,102550,52,0,Elementary Graduate,647,9,2
53537,33815,67,1530,Elementary Graduate,0,2,1
87082,40438,44,0,Grade 5,1377,4,2
222985,64570,47,0,First Year College,12916,8,1
91722,46016,43,56,Grade 4,3300,5,2
124504,66694,47,180,Elementary Graduate,2250,9,6
373733,102419,64,0,Third Year College,1080,8,2
126550,56437,73,0,Grade 5,558,5,2
130352,58208,57,700,First Year College,960,4,1
508366,86107,56,8580,Elementary Graduate,0,2,0
69189,32359,71,0,Elementary Graduate,200,2,0
117166,84565,51,3490,Grade 5,325,11,1
92564,62950,40,120,Grade 3,380,8,1
83936,65971,45,240,Grade 3,1310,9,2
60609,31912,59,1590,Grade 3,0,4,3
49855,38270,40,360,Grade 3,600,4,2
112662,60473,62,3320,Elementary Graduate,0,5,1
153619,98616,52,720,Grade 5,690,8,2
63195,45745,26,5320,Elementary Graduate,0,2,0
98855,53929,51,1320,Elementary Graduate,160,6,1
133500,88783,48,720,Grade 2,420,9,2
89682,44437,54,0,Elementary Graduate,3010,4,0
203542,75620,62,0,Elementary Graduate,3600,6,1
158596,107052,58,1050,Second Year High School,100,11,2
124648,87261,44,670,Elementary Graduate,1470,8,1
77141,50606,80,110,Grade 2,0,5,1
76683,62656,37,875,Grade 5,322,7,2
120766,54341,44,0,Second Year High School,23682,4,1
55488,48580,40,138,Grade 5,272,8,1
403672,81486,53,0,Grade 4,1640,6,2
92919,80437,49,0,Grade 5,580,8,3
113587,52708,61,132,Elementary Graduate,0,2,0
350394,57598,36,75,Security Services Programs,400,4,1
124236,102149,42,310,Elementary Graduate,14540,6,2
